Tipo de profesional;Sexo;años;Total
Enfermeros con título de Practicantes y ATS;Total;2016;..
Enfermeros con título de Practicantes y ATS;Total;2015;..
Enfermeros con título de Practicantes y ATS;Total;2014;..
Enfermeros con título de Practicantes y ATS;Total;2013;..
Enfermeros con título de Practicantes y ATS;Total;2012;..
Enfermeros con título de Practicantes y ATS;Total;2011;..
Enfermeros con título de Practicantes y ATS;Total;2010;..
Enfermeros con título de Practicantes y ATS;Total;2009;..
Enfermeros con título de Practicantes y ATS;Total;2008;..
Enfermeros con título de Practicantes y ATS;Total;2007;..
Enfermeros con título de Practicantes y ATS;Total;2006;..
Enfermeros con título de Practicantes y ATS;Total;2005;..
Enfermeros con título de Practicantes y ATS;Total;2004;..
Enfermeros con título de Practicantes y ATS;Total;2003;..
Enfermeros con título de Practicantes y ATS;Total;2002;..
Enfermeros con título de Practicantes y ATS;Total;2001;..
Enfermeros con título de Practicantes y ATS;Total;2000;..
Enfermeros con título de Practicantes y ATS;Total;1999;..
Enfermeros con título de Practicantes y ATS;Total;1998;..
Enfermeros con título de Practicantes y ATS;Total;1997;..
Enfermeros con título de Practicantes y ATS;Total;1996;..
Enfermeros con título de Practicantes y ATS;Total;1995;..
Enfermeros con título de Practicantes y ATS;Total;1994;..
Enfermeros con título de Practicantes y ATS;Total;1993;..
Enfermeros con título de Practicantes y ATS;Total;1992;..
Enfermeros con título de Practicantes y ATS;Total;1991;..
Enfermeros con título de Practicantes y ATS;Total;1990;..
Enfermeros con título de Practicantes y ATS;Total;1989;..
Enfermeros con título de Practicantes y ATS;Total;1988;..
Enfermeros con título de Practicantes y ATS;Total;1987;..
Enfermeros con título de Practicantes y ATS;Total;1986;..
Enfermeros con título de Practicantes y ATS;Total;1985;..
Enfermeros con título de Practicantes y ATS;Total;1984;..
Enfermeros con título de Practicantes y ATS;Total;1983;..
Enfermeros con título de Practicantes y ATS;Total;1982;..
Enfermeros con título de Practicantes y ATS;Total;1981;..
Enfermeros con título de Practicantes y ATS;Total;1980;..
Enfermeros con título de Practicantes y ATS;Total;1979;..
Enfermeros con título de Practicantes y ATS;Total;1978;..
Enfermeros con título de Practicantes y ATS;Total;1977;..
Enfermeros con título de Practicantes y ATS;Total;1976;36.051
Enfermeros con título de Practicantes y ATS;Total;1975;31.328
Enfermeros con título de Practicantes y ATS;Total;1974;27.996
Enfermeros con título de Practicantes y ATS;Total;1973;25.723
Enfermeros con título de Practicantes y ATS;Total;1972;24.469
Enfermeros con título de Practicantes y ATS;Total;1971;23.383
Enfermeros con título de Practicantes y ATS;Total;1970;22.634
Enfermeros con título de Practicantes y ATS;Total;1969;22.233
Enfermeros con título de Practicantes y ATS;Total;1968;21.949
Enfermeros con título de Practicantes y ATS;Total;1967;21.853
Enfermeros con título de Practicantes y ATS;Total;1966;21.758
Enfermeros con título de Practicantes y ATS;Total;1965;21.568
Enfermeros con título de Practicantes y ATS;Total;1964;21.561
Enfermeros con título de Practicantes y ATS;Total;1963;21.558
Enfermeros con título de Practicantes y ATS;Total;1962;21.773
Enfermeros con título de Practicantes y ATS;Total;1961;21.815
Enfermeros con título de Practicantes y ATS;Total;1960;21.894
Enfermeros con título de Practicantes y ATS;Total;1959;21.932
Enfermeros con título de Practicantes y ATS;Total;1958;21.950
Enfermeros con título de Practicantes y ATS;Total;1957;21.739
Enfermeros con título de Practicantes y ATS;Total;1956;21.789
Enfermeros con título de Practicantes y ATS;Total;1955;21.719
Enfermeros con título de Practicantes y ATS;Total;1954;21.132
Enfermeros con título de Practicantes y ATS;Total;1953;20.502
Enfermeros con título de Practicantes y ATS;Total;1952;18.642
Enfermeros con título de Practicantes y ATS;Hombres;2021;..
Enfermeros con título de Practicantes y ATS;Hombres;2020;..
Enfermeros con título de Practicantes y ATS;Hombres;2019;..
Enfermeros con título de Practicantes y ATS;Hombres;2018;..
Enfermeros con título de Practicantes y ATS;Hombres;2017;..
Enfermeros con título de Practicantes y ATS;Hombres;2016;..
Enfermeros con título de Practicantes y ATS;Hombres;2015;..
Enfermeros con título de Practicantes y ATS;Hombres;2014;..
Enfermeros con título de Practicantes y ATS;Hombres;2013;..
Enfermeros con título de Practicantes y ATS;Hombres;2012;..
Enfermeros con título de Practicantes y ATS;Hombres;2011;..
Enfermeros con título de Practicantes y ATS;Hombres;2010;..
Enfermeros con título de Practicantes y ATS;Hombres;2009;..
Enfermeros con título de Practicantes y ATS;Hombres;2008;..
Enfermeros con título de Practicantes y ATS;Hombres;2007;..
Enfermeros con título de Practicantes y ATS;Hombres;2006;..
Enfermeros con título de Practicantes y ATS;Hombres;2005;..
Enfermeros con título de Practicantes y ATS;Hombres;2004;..
Enfermeros con título de Practicantes y ATS;Hombres;2003;..
Enfermeros con título de Practicantes y ATS;Hombres;2002;..
Enfermeros con título de Practicantes y ATS;Hombres;2001;..
Enfermeros con título de Practicantes y ATS;Hombres;2000;..
Enfermeros con título de Practicantes y ATS;Hombres;1999;..
Enfermeros con título de Practicantes y ATS;Hombres;1998;..
Enfermeros con título de Practicantes y ATS;Hombres;1997;..
Enfermeros con título de Practicantes y ATS;Hombres;1996;..
Enfermeros con título de Practicantes y ATS;Hombres;1995;..
Enfermeros con título de Practicantes y ATS;Hombres;1994;..
Enfermeros con título de Practicantes y ATS;Hombres;1993;..
Enfermeros con título de Practicantes y ATS;Hombres;1992;..
Enfermeros con título de Practicantes y ATS;Hombres;1991;..
Enfermeros con título de Practicantes y ATS;Hombres;1990;..
Enfermeros con título de Practicantes y ATS;Hombres;1989;..
Enfermeros con título de Practicantes y ATS;Hombres;1988;..
Enfermeros con título de Practicantes y ATS;Hombres;1987;..
Enfermeros con título de Practicantes y ATS;Hombres;1986;..
